,title,author,publication year,publication month,publication day,format,current price,original price
636,Harry Potter and the Chamber of Secrets,J.K. Rowling,2014,Sep,11,Paperback,10.38,10.88
637,Glass Sword,Victoria Aveyard,2016,Jul,28,Paperback,15.17,15.17
638,Fantastically Great Women Who Changed The World,Kate Pankhurst,2016,Sep,8,Paperback,11.95,11.95
639,Extreme Ownership,Jocko Willink,2017,Dec,6,Hardback,20.9,27.99
640,The Shadows Between Us,Tricia Levenseller,2020,Feb,25,Hardback,19.11,19.11
641,The Boy Who Made Everyone Laugh,Helen Rutter,2021,Feb,4,Paperback,10.94,10.94
642,David Attenborough: Volume 34,Maria Isabel Sanchez Vegara,2020,Feb,4,Hardback,18.13,18.13
643,Milkman,Anna Burns,2018,Nov,1,Paperback,11.92,12.24
644,Mr Salary,Sally Rooney,2019,Jan,3,Paperback,7.8,7.8
645,The Bell Jar,Sylvia Plath,2005,Jun,2,Paperback,13.36,13.36
646,A Doll's House,Henrik Ibsen,2000,Jan,2,Paperback,3.6,3.6
647,Persepolis,Marjane Satrapi,2004,Jun,1,Paperback,14.56,16.0
648,"Women, Food, and Hormones",Sara Gottfried,2021,Sep,21,Hardback,14.56,16.0
649,The Roommate,Rosie Danan,2020,Sep,15,Paperback,24.22,24.22
650,Rebecca,Daphne Du Maurier,2016,May,3,Paperback,18.33,18.33
651,The Whole Truth,Cara Hunter,2021,Apr,29,Paperback,14.48,14.48
652,A Clockwork Orange,Anthony Burgess,2011,Jun,16,Paperback,9.54,18.25
653,The Complete Gardener,Monty Don,2021,May,4,Hardback,33.68,33.68
654,"Index, A History of the",Dennis Duncan,2021,Sep,2,Hardback,26.58,27.23
655,The Boy Who Harnessed the Wind,William Kamkwamba,2016,Jan,5,Paperback,9.46,9.46
656,Pride and Prejudice,Jane Austen,2012,Dec,6,Paperback,10.4,10.4
657,Perfume,Patrick Süskind,2010,Apr,1,Paperback,16.81,19.75
658,Outliers,Malcolm Gladwell,2009,Jun,4,Paperback,10.14,10.14
659,Charlotte's Web,E B White,2012,Apr,10,Paperback,9.28,9.28
660,Serpent & Dove,Shelby Mahurin,2020,Sep,3,Paperback,12.33,12.99
661,An Innocent Baby,Cathy Glass,2021,Sep,21,Paperback,9.34,9.34
662,Loveless,Alice Oseman,2020,Jul,20,Paperback,13.39,13.39
663,The Well Gardened Mind,Sue Stuart-Smith,2021,Apr,29,Paperback,17.11,17.11
664,What Do People Do All Day?,Richard Scarry,2018,Mar,8,Paperback,10.17,13.25
665,Untangle Your Anxiety,Dean Stott,2021,Mar,9,Paperback,17.53,17.53
666,CALENDARIO 2022. CARLES DALMAU,CARLES DALMAU,2021,Sep,2,Calendar,18.77,18.77
667,Still Standing,Jessica Quinn,2021,Sep,14,Paperback,33.55,33.55
668,Dessert Person,Claire Saffitz,2020,Oct,20,Hardback,34.71,35.0
669,"Chainsaw Man, Vol. 8",Tatsuki Fujimoto,2021,Dec,23,Paperback,11.44,11.44
670,"Mashle: Magic and Muscles, Vol. 1",Hajime Komoto,2021,Sep,16,Paperback,13.79,13.79
671,A Shadow in the Ember,Jennifer L Armentrout,2021,Oct,19,Hardback,28.63,31.99
672,The Dessert Game,Reynold Poernomo,2021,Nov,2,Paperback,25.58,26.78
673,Women Don't Owe You Pretty,Florence Given,2021,Sep,9,Paperback,7.69,10.88
674,The Dessert Game,Reynold Poernomo,2021,Nov,11,Paperback,28.92,31.99
675,The Seven Spiritual Laws of Success,Deepak Chopra,2015,Mar,9,Paperback,8.2,8.95
676,Capitalist Realism - Is there no alternative?,Mark Fisher,2013,Dec,9,Paperback,13.87,14.95
677,The Dot,Peter H. Reynolds,2004,Oct,4,Paperback,12.44,12.44
678,Pachinko,Min Jin Lee,2017,Aug,10,Paperback,16.78,16.78
679,The Girl in The Tower,Katherine Arden,2018,Aug,9,Paperback,19.99,19.99
680,The Winter of the Witch,Katherine Arden,2019,Oct,3,Paperback,17.51,17.51
681,The Gulag Archipelago,Aleksandr Solzhenitsyn,2018,Nov,1,Paperback,19.84,20.41
682,The Laws of Human Nature,Robert Greene,2018,Oct,24,Paperback,21.91,24.5
683,The Kids' Book of Crosswords 1,Gareth Moore,2017,Apr,6,Paperback,4.55,5.43
685,"Peaceful Parent, Happy Kids Workbook",Dr Laura Markham,2018,Feb,27,Paperback,25.79,25.79
686,Classroom of the Elite (Light Novel) Vol. 9,Syougo Kinugasa,2021,Sep,28,Paperback,14.35,14.35
687,Thinking in Systems,Donella Meadows,2008,Dec,3,Paperback,15.88,19.95
688,The Body,Stephen King,2021,Sep,9,Paperback,11.21,11.21
689,The Mist,Stephen King,2021,Sep,9,Paperback,11.21,11.21
690,These Hollow Vows,Lexi Ryan,2021,Jul,20,Hardback,23.91,23.91
691,Jane's Patisserie,Jane Dunn,2021,Aug,5,Hardback,29.51,29.51
692,Cinderella Is Dead,Kalynn Bayron,2020,Aug,6,Paperback,10.82,10.88
693,House of Earth and Blood,Sarah J. Maas,2021,Mar,2,Paperback,18.46,18.46
694,The Shadow Sister,Lucinda Riley,2019,Jul,11,Paperback,16.04,16.04
695,A Squash and a Squeeze,Julia Donaldson,2016,Sep,23,Paperback,12.2,12.75
696,The Gruffalo,Julia Donaldson,2016,Aug,19,Paperback,12.47,12.47
697,How to Save a Life,LYNETTE RICE,2021,Sep,21,Hardback,12.47,12.47
698,How the King of Elfhame Learned to Hate Stories (The Folk of the Air series),Holly Black,2020,Nov,24,Hardback,20.03,23.13
699,Listen and Learn First English Words,Mairi Mackinnon,2017,Oct,1,Hardback,19.73,20.41
700,The Hate U Give,Angie Thomas,2017,Jun,15,Paperback,10.4,10.88
701,Limitless,Jim Kwik,2020,Apr,7,Hardback,23.94,26.99
702,Investigators: Ants in Our P.A.N.T.S.,John Patrick Green,2021,Sep,28,Hardback,15.44,15.44
703,Twisted Love - Special Edition,Ana Huang,2021,Apr,22,Paperback,17.32,17.32
704,A Brief History Of Time,Stephen Hawking,2015,Jan,20,Paperback,16.68,20.25
705,Aisling and the City,Emer McLysaght,2021,Oct,8,Paperback,18.06,19.95
706,We're Going on a Bear Hunt,Michael Rosen,1997,Oct,1,Board book,8.92,8.92
707,Each Peach Pear Plum,Janet Ahlberg,1999,Sep,1,Board book,10.13,10.13
708,Silva Mind Control Method,Silva,1991,Jan,15,Paperback,10.31,10.31
709,The Plot,Jean Hanff Korelitz,2021,Aug,5,Paperback,11.98,12.24
710,Be Here Now,Ram Dass,2015,Nov,23,Paperback,19.44,19.44
711,The Thursday Murder Club,Richard Osman,2020,Sep,3,Hardback,22.21,22.21
712,Girl Stuff 8-12,Kaz Cooke,2016,Oct,3,Paperback,28.53,28.53
713,Little Women,Louisa May Alcott,2014,Dec,4,Hardback,16.4,16.4
714,Fish in a Tree,Lynda Mullaly Hunt,2017,May,9,Paperback,8.04,8.99
715,The Picture of Dorian Gray,Oscar Wilde,2009,Oct,27,Hardback,22.18,24.0
716,Of Mice and Men,Mr John Steinbeck,2007,Mar,1,Paperback,12.64,12.64
717,Where The Wild Things Are,Maurice Sendak,2001,May,11,Paperback,12.3,13.25
718,Iron Heart,Nina Varela,2021,Oct,14,Paperback,11.57,11.57
719,Shatter Me,Tahereh Mafi,2018,Jan,9,Paperback,12.47,12.47
720,The Giving Tree,Shel Silverstein,2014,Feb,18,Hardback,18.0,18.0
721,The Nature of Middle-earth,J. R. R. Tolkien,2021,Sep,2,Hardback,32.97,34.04
722,The Giver,Lois Lowry,2014,Sep,10,Paperback,9.4,9.52
723,Radio Silence,Alice Oseman,2016,Mar,3,Paperback,15.71,15.71
724,Howl's Moving Castle,Diana Wynne Jones,2010,Feb,1,Paperback,16.0,16.0
725,Moleskine Ltd. Ed. Peanuts 2022 18-Month Weekly Large Hardcover Notebook: Black,Moleskine,2021,Apr,21,Hardback,21.52,34.03
726,Tarot of Oppositions,Pierluca Zizzi,2021,Aug,1,Cards,27.19,36.76
727,Caraval,Stephanie Garber,2021,Sep,28,Paperback,16.54,17.95
728,"Toilet-bound Hanako-kun, Vol. 10",AidaIro,2021,Sep,28,Paperback,13.37,13.37
729,"Fist of the North Star, Vol. 2",Buronson,2021,Oct,14,Hardback,23.57,23.57
730,"My Hero Academia, Vol. 27",Kohei Horikoshi,2021,Jun,10,Paperback,9.48,9.99
731,Did You Hear What Eddie Gein Done?,Eric Powell,2021,Aug,24,Hardback,28.24,29.99
732,The Listener,Frances Gaudiano,2021,Oct,4,Paperback,15.51,16.34
733,Boy Parts,Eliza Clark,2020,Jul,23,Paperback,12.78,13.6
734,Minor Feelings,Cathy Park Hong,2021,Mar,4,Paperback,16.35,16.35
735,Moonology (TM) Manifestation Oracle,Yasmin Boland,2021,Oct,19,Cards,19.68,21.99
736,Consolations,David Whyte,2020,Oct,27,Hardback,22.53,26.0
737,Snow Country,Sebastian Faulks,2021,Sep,2,Paperback,18.87,19.05
738,The Gifts of Imperfection,Brene Brown,2020,Sep,8,Hardback,21.12,21.12
739,The Second Sex (Vintage Feminism Short Edition),Simone de Beauvoir,2015,Mar,5,Paperback,6.66,6.79
740,A Vindication of the Rights of Woman (Vintage Feminism Short Edition),Mary Wollstonecraft,2015,Mar,5,Paperback,6.61,8.95
741,The Rise of the Ultra Runners,Adharanand Finn,2020,Apr,2,Paperback,12.7,13.6
742,When We Cease to Understand the World,Benjamin Labatut,2021,May,6,Paperback,11.73,12.24
743,At Night All Blood is Black,David Diop,2021,May,6,Paperback,14.42,14.42
744,Attack on Titan 33,Hajime Isayama,2021,May,4,Paperback,10.21,10.99
745,Harry Potter: Holiday Magic: The Official Advent Calendar,Insight Editions,2021,Sep,21,Hardback,31.58,31.58
746,The Bhagavad Gita,Eknath Easwaran,2007,May,31,Paperback,11.6,11.95
747,Growing Gourmet and Medicinal Mushrooms,Paul Stamets,2016,Jul,8,Paperback,47.35,47.35
748,When Breath Becomes Air,Paul Kalanithi,2019,Jan,3,Paperback,9.23,9.52
749,The Deficit Myth,Stephanie Kelton,2021,May,13,Paperback,18.45,18.45
750,Defy the Night,Brigid Kemmerer,2021,Sep,14,Paperback,11.61,11.61
751,A Court of Silver Flames,Sarah J. Maas,2021,Feb,16,Hardback,26.21,26.21
752,The Long Call,Ann Cleeves,2020,Feb,20,Paperback,14.45,14.45
753,The Bewitching of Aveline Jones,Phil Hickes,2021,Sep,16,Paperback,9.76,9.76
754,The Madness of Crowds,Douglas Murray,2020,Sep,10,Paperback,15.65,15.65
755,Neuromancer,William Gibson,2016,Dec,8,Paperback,13.67,13.67
756,Shadows of Self,Brandon Sanderson,2016,Oct,6,Paperback,16.41,16.41
757,The Conscious Parent,Dr Shefali Tsabary,2015,Jan,15,Paperback,17.05,23.13
758,The Mindful Self-Compassion Workbook,Kristin Neff,2018,Dec,21,Paperback,19.76,19.95
759,The Paper Dolls,Julia Donaldson,2013,Jun,6,Paperback,11.99,11.99
760,Little Kids First Big Book of Why,Amy Shields,2011,Jun,9,Hardback,18.31,18.31
761,Little Kids First Big Book of Space,Catherine D. Hughes,2012,Nov,20,Hardback,18.14,18.14
762,Maid,Stephanie Land,2020,Jul,9,Paperback,9.25,12.24
763,Expecting Better,Emily Oster,2018,Aug,9,Paperback,15.2,15.2
764,Coraline,Neil Gaiman,2013,Oct,10,Paperback,9.46,9.52
765,The Lion Inside Board Book,Rachel Bright,2017,Feb,9,Board book,13.23,13.23
766,Stick Man Early Reader,Julia Donaldson,2012,Dec,6,Paperback,5.65,11.25
767,Girl in Pieces,Kathleen Glasgow,2018,Sep,18,Paperback,12.21,12.21
768,It Didn't Start with You,Mark Wolynn,2017,Apr,27,Paperback,15.24,18.0
769,Cambridge IGCSE (R) First Language English Coursebook,Marian Cox,2018,May,25,Paperback,43.76,43.76
770,The Modern Break-Up,Daniel Chidiac,2019,Jul,16,Paperback,22.47,22.47
773,Great Circle,Maggie Shipstead,2021,May,4,Paperback,23.89,23.89
774,The Gift Of Therapy,Irvin Yalom,2003,Feb,27,Paperback,18.6,18.6
775,The Original Rider Waite Tarot Deck,A.E. Waite,1999,Jun,10,Cards,18.82,20.57
776,Dune,Frank Herbert,2018,May,30,Hardback,24.45,24.45
777,The Drama of the Gifted Child,Alice Miller,2008,Jul,22,Paperback,14.64,15.99
778,The Story of Ferdinand,Munro Leaf,2011,Mar,31,Paperback,5.77,5.77
779,Crossroads,Jonathan Franzen,2021,Oct,5,Paperback,16.37,17.69
780,The Jasmine Throne,Tasha Suri,2021,Jun,10,Paperback,12.36,12.36
781,"Act Your Age, Eve Brown",Talia Hibbert,2021,Mar,9,Paperback,15.49,15.49
782,"Take a Hint, Dani Brown",Talia Hibbert,2020,Jun,23,Paperback,15.65,15.65
783,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Nov,1,Paperback,7.44,7.99
784,The Tipping Point,Malcolm Gladwell,2014,Mar,1,Paperback,10.88,10.88
785,Kingdom of the Wicked,Kerri Maniscalco,2021,Sep,7,Paperback,12.47,12.47
786,The Jolly Christmas Postman,Allan Ahlberg,2001,Sep,1,Hardback,19.42,19.42
787,Wrinkle in Time,Madeleine L'Engle,2008,May,1,Paperback,7.77,7.77
788,The Compound Effect,Darren Hardy,2020,Sep,15,Hardback,17.71,19.99
789,Norwegian Wood,Haruki Murakami,2011,Apr,28,Paperback,10.71,10.71
790,Pedagogy of the Oppressed,Paulo Freire,2017,Apr,6,Paperback,13.48,13.6
791,English Pastoral,James Rebanks,2021,Sep,2,Paperback,12.67,13.6
792,The Witches,Roald Dahl,2007,Aug,16,Paperback,8.03,8.03
793,All the Bright Places,Jennifer Niven,2015,Jan,8,Paperback,11.49,11.49
794,Percy Jackson and the Titan's Curse (Book 3),Rick Riordan,2014,Apr,8,Paperback,11.29,11.29
795,Nineteen Eighty-Four,George Orwell,2009,Feb,1,Paperback,12.42,21.0
796,Frankenstein,Mary Shelley,2012,May,1,Paperback,9.63,9.63
797,The Myth of Sisyphus,Albert Camus,2005,Oct,1,Paperback,7.63,11.0
798,Ways of Seeing,John Berger,2009,Mar,1,Paperback,10.97,19.75
799,Manufacturing Consent,Edward S Herman,1998,Jan,3,Paperback,15.48,15.48
800,Who Moved My Cheese,Spencer Johnson,2018,Oct,31,Paperback,8.6,13.25
801,The Hard Thing About Hard Things,Ben Horowitz,2014,Apr,24,Hardback,24.38,29.99
802,1984 Nineteen Eighty-Four,George Orwell,2021,Jan,7,Paperback,6.58,6.58
803,First Man In,Ant Middleton,2019,Apr,23,Paperback,17.53,17.53
804,yes i have anxiety deal with it coloring book,Adam Strsed,2021,Mar,16,Paperback,9.58,27.11
805,Chainsaw Man 1,Tatsuki Fujimoto,2020,Oct,1,Paperback,9.17,9.17
806,"Haikyu!!, Vol. 45",Haruichi Furudate,2021,Nov,25,Paperback,8.9,9.99
807,The Long Field,Pamela Petro,2021,Sep,14,Hardback,25.19,30.0
808,Anna Karenina,Leo Tolstoy,1997,Aug,1,Paperback,8.21,8.21
809,Nineteen Eighty-Four,George Orwell,2021,Jan,1,Paperback,6.81,6.81
810,Know Your Rights,Angelina Jolie,2021,Sep,2,Paperback,9.78,10.88
811,Advent Calendar Book Collection,Usborne,2021,Oct,14,Book,28.8,28.8
812,The Invisible Life of Addie LaRue Export Edition,V. E. Schwab,2020,Oct,8,Paperback,24.05,24.05
813,The Daily Stoic Journal,Ryan Holiday,2020,Jul,13,Hardback,21.52,21.52
814,What I Love About You,Studio Press,2019,Jun,1,Hardback,15.75,16.95
815,Moonflower Murders,Anthony Horowitz,2021,Apr,29,Paperback,15.84,15.84
816,The Three-Body Problem,Cixin Liu,2016,Feb,1,Paperback,13.42,13.42
817,The Amur River,Colin Thubron,2021,Sep,16,Paperback,35.15,35.15
818,The Wellbeing Journal,Mind,2018,May,1,Paperback,13.25,13.25
819,Reasons to Stay Alive,Matt Haig,2016,Jan,7,Paperback,15.33,15.33
820,Christians,Greg Sheridan,2022,Jan,6,Paperback,35.63,35.63
821,A Touch of Darkness,Scarlett St. Clair,2021,Nov,30,Paperback,17.63,17.63
822,Our Dreams at Dusk: Shimanami Tasogare Vol. 3,Yuhki Kamatani,2019,Oct,1,Paperback,17.63,17.63
823,Wotakoi: Love Is Hard For Otaku 1,Fujita,2018,Apr,19,Paperback,16.71,17.99
824,Macbeth (No Fear Shakespeare),Sparknotes,2011,Feb,23,Paperback,10.2,10.2
825,The Sun Dog,Stephen King,2021,Sep,9,Paperback,11.21,11.21
826,The Anthropocene Reviewed,John Green,2021,May,18,Hardback,25.6,25.6
827,Lily's Promise,Lily Ebert,2021,Sep,2,Hardback,25.12,25.86
828,A Deadly Education,Naomi Novik,2021,May,6,Paperback,15.55,15.55
829,A Court of Thorns and Roses Box Set,Sarah J. Maas,2021,Jan,5,Paperback,71.95,71.95
830,Indistractable,Nir Eyal,2020,Feb,6,Paperback,14.87,14.87
831,A Tale of Magic: A Tale of Sorcery,Chris Colfer,2021,Sep,30,Hardback,27.82,27.82
832,The Sun Sister,Lucinda Riley,2020,Jul,23,Paperback,15.89,15.89
833,Berserk Deluxe Volume 10,Kentaro Miura,2022,Mar,8,Hardback,44.74,49.99
834,My Own Words,Ruth Bader Ginsburg,2018,Oct,16,Paperback,16.11,18.0
835,Relentless,Tim S. Grover,2014,Mar,13,Paperback,14.56,17.0
836,The Color Purple,Alice Walker,2018,Jan,3,Paperback,15.18,15.18
837,Mort,Terry Pratchett,2013,Nov,13,Hardback,21.55,24.99
838,The Bands of Mourning,Brandon Sanderson,2017,Jan,12,Paperback,16.32,16.32
839,Legendary,Stephanie Garber,2019,Feb,21,Paperback,13.86,13.86
840,Practising Parisienne,Marissa Cox,2021,Sep,2,Hardback,21.12,21.12
841,"Kim Jiyoung, Born 1982",Cho Nam-Joo,2021,Jan,21,Paperback,13.48,13.48
842,"One-Punch Man, Vol. 1",One,2015,Sep,24,Paperback,20.1,20.1
843,"Haikyu!!, Vol. 1",Haruichi Furudate,2016,Jul,28,Paperback,20.17,20.17
844,Gyo (2-in-1 Deluxe Edition),Junji Ito,2015,May,7,Hardback,26.48,26.48
845,"My Hero Academia, Vol. 3",Kohei Horikoshi,2016,Feb,25,Paperback,19.98,19.98
846,"One Piece (Omnibus Edition), Vol. 2",Eiichiro Oda,2011,Aug,18,Paperback,28.77,28.77
847,Magpie Murders,Anthony Horowitz,2017,Nov,21,Paperback,12.05,12.24
848,There's A House Inside My Mummy Board Book,Giles Andreae,2012,Jan,5,Board book,9.23,9.52
849,Tiddler,Julia Donaldson,2017,Jan,18,Paperback,11.86,11.86
850,Guess How Much I Love You,Sam McBratney,2014,Dec,19,Board book,10.42,10.42
851,Medical Medium,Anthony William,2021,Mar,23,Hardback,39.99,39.99
852,Dog Man 10: Mothering Heights (the new blockbusting international bestseller),Dav Pilkey,2021,Mar,23,Hardback,14.9,14.9
853,Pokemon: Super Deluxe Essential Handbook,Scholastic,2018,Aug,2,Paperback,17.52,17.52
854,Inspired,Marty Cagan,2018,Jan,30,Hardback,23.56,30.0
855,Twisted Games - Special Edition,Ana Huang,2021,Jul,22,Paperback,18.43,18.43
856,I Know Why The Caged Bird Sings,Maya Angelou,2018,Aug,28,Paperback,10.02,14.22
857,Tartine Bread,Chad Robertson,2010,Oct,12,Hardback,40.6,40.6
858,The Setting Sun,Osamu Dazai,1968,Jun,1,Paperback,13.95,14.95
859,Peek-A Who?,Nina Laden,2005,Sep,15,Hardback,7.74,7.74
860,Mindfulness,Professor Mark Williams,2011,May,5,Paperback,18.58,29.25
861,Whats Happening to Me?,Susan Meredith,2006,Mar,31,Paperback,12.83,12.83
862,Make Your Bed,Admiral William H. McRaven,2017,Jul,12,Hardback,12.91,13.6
863,Good To Great,Jim Collins,2004,Jan,1,Hardback,29.19,34.79
864,The Nickel Boys,Colson Whitehead,2020,Jun,30,Paperback,12.31,12.31
865,1177 B.C.,Eric H. Cline,2021,Mar,2,Paperback,16.95,16.95
866,The Legend of Aleister Crowley,Percy Stephensen,2021,Sep,20,Paperback,20.63,20.63
867,The Final Empire,Brandon Sanderson,2009,Dec,1,Paperback,17.76,17.76
868,The Alloy of Law,Brandon Sanderson,2012,Nov,1,Paperback,16.07,20.25
869,Outline,Rachel Cusk,2018,Jun,20,Paperback,11.26,12.24
870,First Little Readers: Guided Reading Level a (Parent Pack),Deborah Schecter,2010,Oct,1,Paperback,20.64,20.99
871,Anime Architecture,Stefan Riekeles,2020,Nov,17,Hardback,47.63,47.63
872,The Complete Poetry Of Edgar Allan Poe,Edgar Allan Poe,2009,Nov,26,Paperback,5.0,5.0
873,"Bob Books - Set 1: Beginning Readers Box Set Phonics, Ages 4 and Up, Kindergarten (Stage 1: Starting to Read)",John R Maslen,2006,May,1,Paperback,17.65,17.99
874,Bridgerton: When He Was Wicked (Bridgertons Book 6),Julia Quinn,2021,Feb,11,Paperback,10.12,12.24
875,How to Make the World Add Up,Tim Harford,2021,May,6,Paperback,19.27,19.27
876,"Don't Make Me Think, Revisited",Steve Krug,2014,Jun,27,Paperback,35.59,45.0
877,Kingdom of the Wicked,Kerri Maniscalco,2020,Nov,26,Hardback,21.59,21.59
878,The Silmarillion,J. R. R. Tolkien,2013,Aug,1,Paperback,12.19,17.75
879,Lolita,Vladimir Nabokov,2011,Jun,16,Paperback,20.1,20.5
880,The Wonderful Things You Will Be,Emily Winfield Martin,2020,Aug,6,Hardback,20.2,20.2
881,"Women, Race & Class",Angela Y. Davis,2019,Oct,3,Paperback,16.86,16.86
882,Dear Zoo,Rod Campbell,2010,Jul,2,Board book,10.07,10.07
885,The BFG,Roald Dahl,2007,Aug,16,Paperback,7.96,7.99
886,Pygmalion,George Bernard Shaw,2003,Feb,4,Paperback,12.37,12.37
887,Roald Dahl: Whizzpopping Joke Book,Roald Dahl,2016,Jun,2,Paperback,7.68,8.16
888,Percy Jackson and the Last Olympian (Book 5),Rick Riordan,2013,Jul,4,Paperback,15.12,15.12
889,The Upside of Falling,Alex Light,2021,Apr,15,Paperback,10.42,10.99
890,Inside Out & Back Again,Thanhha Lai,2013,Jan,2,Paperback,9.28,9.28
891,"Predictably Irrational, Revised",Dr Dan Ariely,2011,Jun,24,Paperback,9.62,9.62
892,MEGAMONSTER,David Walliams,2021,Jun,24,Hardback,23.6,23.6
893,My Dark Vanessa,Kate Elizabeth Russell,2021,Jan,21,Paperback,15.0,15.0
894,The Chronicles of Narnia Box Set,C. S. Lewis,2014,Jul,3,Paperback,40.06,57.09
895,Royal Assassin,Robin Hobb,2014,Mar,27,Paperback,17.58,17.58
896,How to Catch a Star,Oliver Jeffers,2005,May,3,Paperback,10.58,12.5
897,Corrupt,Penelope Douglas,2005,May,3,Paperback,15.4,15.4
898,a la Mitad del Camino,Andres Manuel Lopez Obrador,2021,Oct,12,Paperback,20.94,20.94
899,Trono de cristal: Reino de cenizas,"Maas, Sarah J.",2021,Mar,23,Paperback,24.66,25.17
900,The Book of St. Brigid,Colm Keane,2021,Sep,8,Paperback,18.92,20.42
901,What Colour Is Your Parachute? 2021,Richard N. Bolles,2020,Dec,22,Paperback,17.44,19.99
902,"Yotsuba&!, Vol. 15",Kiyohiko Azuma,2021,Sep,28,Paperback,12.43,13.0
903,"One-Punch Man, Vol. 22",One,2021,Jul,22,Paperback,9.76,9.99
904,"One-Punch Man, Vol. 23",ONE,2021,Oct,28,Paperback,11.07,11.07
905,Sensor,Junji Ito,2021,Sep,30,Hardback,20.51,20.51
906,"BEASTARS, Vol. 14",Paru Itagaki,2021,Oct,14,Paperback,12.63,12.99
907,Maybe,Kobi Yamada,2019,Sep,15,Hardback,19.1,19.1
908,"Let's Talk About Body Boundaries, Consent and Respect",Jayneen Sanders,2017,Nov,10,Paperback,14.41,14.41
910,Modern Witch Tarot,Lisa Sterle,2019,Nov,19,Cards,26.95,26.95
911,The Land of Stories: The Wishing Spell,Chris Colfer,2013,Jun,6,Paperback,14.14,14.14
912,The Power of Habit,Charles Duhigg,2013,Dec,12,Paperback,18.71,18.71
913,Normal Sheeple,Ross O'Carroll-Kelly,2021,Aug,19,Paperback,19.91,19.91
914,The Gulag Archipelago,Aleksandr Solzhenitsyn,2003,Jan,30,Paperback,22.93,26.88
915,Rebecca,Daphne Du Maurier,2003,Jan,30,Paperback,17.58,17.58
916,Liz Climo 2022 Daily Calendar,Liz Climo,2021,Aug,19,Calendar,16.6,16.6
917,Old Ireland in Colour 2,John Breslin,2021,Sep,8,Hardback,33.51,39.95
918,When Breath Becomes Air,Paul Kalanithi,2017,Jan,5,Paperback,14.37,14.37
919,The Proudest Blue,Ibtihaj Muhammad,2020,May,7,Paperback,14.07,14.07
921,SPSS Survival Manual,Julie Pallant,2020,Mar,3,Paperback,49.34,49.34
922,Self-Love Workbook for Women,Megan Logan,2020,Sep,29,Paperback,17.66,17.66
923,Vinland Saga 12,Makoto Yukimura,2021,Oct,26,Hardback,20.58,22.99
924,Witch Hat Atelier 8,Kamome Shirahama,2021,Sep,28,Paperback,12.99,12.99
925,Rent-A-Girlfriend 8,Reiji Miyajima,2021,Sep,21,Paperback,11.86,12.99
926,Witch Hat Atelier 1,Kamome Shirahama,2019,Apr,9,Paperback,13.41,13.41
927,Accessing the Healing Power of the Vagus Nerve,Stanley Rosenbery,2018,Apr,9,Paperback,22.53,25.95
928,It's OK That You're Not OK,Megan Devine,2017,Oct,1,Paperback,16.5,16.95
929,A Smart Girl's Guide: Friendship Troubles,Patti Kelley Criswell,2013,Aug,1,Paperback,12.19,12.99
930,We Free the Stars,Hafsah Faizal,2021,Mar,18,Paperback,16.04,16.04
931,All Are Welcome,Alexandra Penfold,2019,Jan,24,Paperback,12.46,12.46
933,How Emotions Are Made,Lisa Feldman Barrett,2018,Feb,8,Paperback,15.38,15.38
934,Home Stretch,Graham Norton,2021,Apr,29,Paperback,15.78,15.78
935,The State Of Affairs,Esther Perel,2019,Oct,3,Paperback,13.76,13.76
936,Reaper Man,Terry Pratchett,2013,Nov,13,Hardback,23.27,24.99
937,Redemptor,Hot Key Books,2021,Aug,17,Paperback,10.68,12.24
938,Clap When You Land,Elizabeth Acevedo,2020,May,26,Paperback,13.17,13.17
939,The Sun and Her Flowers,Rupi Kaur,2017,Oct,3,Paperback,15.77,17.69
940,The 5 Am Club,Robin Sharma,2020,Jan,7,Paperback,15.25,17.99
941,Unofficial Harry Potter Cookbook,Dinah Bucholz,2010,Sep,18,Hardback,21.16,21.16
942,Gentle and Lowly,Dane C. Ortlund,2020,Apr,7,Hardback,19.33,19.99
943,"One-Punch Man, Vol. 2",One,2016,Feb,1,Paperback,20.55,20.55
944,"Hunter x Hunter, Vol. 7",Yoshihiro Togashi,2016,Sep,22,Paperback,10.31,10.31
945,In My Heart,Jo Witek,2014,Oct,14,Hardback,17.85,17.85
946,The Two Lost Mountains,Matthew Reilly,2021,Jul,22,Paperback,11.41,12.24
947,Harry Potter and the Deathly Hallows,J.K. ROWLING,2014,Sep,1,Paperback,14.27,14.27
948,The Whale Who Wanted More,Rachel Bright,2021,Aug,5,Paperback,10.31,10.31
949,The Koala Who Could Board Book,Rachel Bright,2018,Mar,8,Board book,9.6,9.6
950,Zog and the Flying Doctors,Julia Donaldson,2017,Sep,7,Paperback,15.16,15.16
951,Minecraft Joke Book,Mojang AB,2019,Aug,8,Paperback,13.37,13.37
952,Archetype Cards,Caroline Myss,2020,Nov,9,Cards,20.98,24.99
953,Skin in the Game,Jane Wurwand,2021,Dec,10,Hardback,25.05,27.99
954,"The Invisible Life of Addie Larue, Special Edition",V E Schwab,2021,Oct,5,Hardback,26.84,29.99
955,Lakesedge,Lyndall Clipstone,2021,Sep,28,Hardback,21.16,21.16
956,Daughter of the Siren Queen,Tricia Levenseller,2019,Feb,26,Paperback,13.16,13.16
957,The Bitcoin Standard,Saifedean Ammous,2018,Jun,8,Hardback,23.0,29.95
